pnv_pc_s09|sub-basin percentage of potential natural vegetation class 9 (tundra)
pnv_pc_s10|sub-basin percentage of potential natural vegetation class 10 (desert)
pnv_pc_s11|sub-basin percentage of potential natural vegetation class 11 (urban)
pnv_pc_s12|sub-basin percentage of potential natural vegetation class 12 (water)
pnv_pc_s13|sub-basin percentage of potential natural vegetation class 13 (ice)
pnv_pc_s14|sub-basin percentage of potential natural vegetation class 14 (bare soil)
pnv_pc_s15|sub-basin percentage of potential natural vegetation class 15 (agricultural)
pnv_pc_u01|total watershed percentage of potential natural vegetation class 1 (broadleaf evergreen forest)
pnv_pc_u02|total watershed percentage of potential natural vegetation class 2 (needleleaf evergreen forest)
pnv_pc_u03|total watershed percentage of potential natural vegetation class 3 (broadleaf deciduous forest)
pnv_pc_u04|total watershed percentage of potential natural vegetation class 4 (needleleaf deciduous forest)
pnv_pc_u05|total watershed percentage of potential natural vegetation class 5 (mixed forest)
pnv_pc_u06|total watershed percentage of potential natural vegetation class 6 (shrubland)
pnv_pc_u07|total watershed percentage of potential natural vegetation class 7 (grassland)
pnv_pc_u08|total watershed percentage of potential natural vegetation class 8 (wetland)
pnv_pc_u09|total watershed percentage of potential natural vegetation class 9 (tundra)
pnv_pc_u10|total watershed percentage of potential natural vegetation class 10 (desert)
pnv_pc_u11|total watershed percentage of potential natural vegetation class 11 (urban)
pnv_pc_u12|total watershed percentage of potential natural vegetation class 12 (water)
pnv_pc_u13|total watershed percentage of potential natural vegetation class 13 (ice)
pnv_pc_u14|total watershed percentage of potential natural vegetation class 14 (bare soil)
pnv_pc_u15|total watershed percentage of potential natural vegetation class 15 (agricultural)
wet_cl_smj|sub-basin spatial majority wetland classes (classes 12)
wet_pc_sg1|sub-basin percentage of wetland cover for class group 1
wet_pc_ug1|total watershed percentage of wetland cover for class group 1
wet_pc_sg2|sub-basin percentage of wetland cover for class group 2
wet_pc_ug2|total watershed percentage of wetland cover for class group 2
wet_pc_s01|sub-basin percentage of wetland cover for class group 1
wet_pc_s02|sub-basin percentage of wetland cover for class group 2
wet_pc_s03|sub-basin percentage of wetland cover for class group 3
